date,campaign,clicks,impressions,ctr,cpc,conversions,cost,roas,revenue,source
2023-02-23 00:00:00 UTC,LF캠페인,3228,20060,2.527117375,1.958287052,10,1061.880739,2.201014837,3901.796311,Criteo
2023-03-10 00:00:00 UTC,LF캠페인,3486,11441,4.180051309,2.40783043,10,2422.92661,1.049378912,12224.63549,Criteo
2023-04-24 00:00:00 UTC,LF캠페인,2525,19724,4.600948733,3.2554063,10,4575.918898,2.584740728,15865.88753,Criteo
2023-06-02 00:00:00 UTC,LF캠페인,4997,2302,3.347957722,4.851338118,10,4451.729682,2.743888334,13782.53621,Criteo
2024-08-23 00:00:00 UTC,LF캠페인,3527,43170,4.019651356,1.055998546,10,882.2789673,1.485716043,1241.742359,Criteo
2023-01-14 00:00:00 UTC,LF캠페인,1220,29535,2.607322763,0.557073788,11,2696.503689,1.627246017,14389.45316,Criteo
2023-05-10 00:00:00 UTC,LF캠페인,2227,33112,0.802998478,1.898440028,11,2132.884483,1.111166696,10828.60121,Criteo
2023-08-02 00:00:00 UTC,LF캠페인,4892,48852,2.420109265,0.456387852,11,3285.364235,2.102344756,17564.1174,Criteo
2023-08-08 00:00:00 UTC,LF캠페인,2644,14921,4.836246519,3.51315373,11,4426.502706,1.217583214,3582.813767,Criteo
2023-09-07 00:00:00 UTC,LF캠페인,1860,31372,3.070351407,0.476343422,11,3352.309681,1.070963978,1494.094922,Criteo
2023-09-11 00:00:00 UTC,LF캠페인,4730,4755,3.059258981,0.255582419,11,2244.36314,2.492955377,2265.684872,Criteo
2023-10-06 00:00:00 UTC,LF캠페인,1081,49945,2.294215854,3.519034244,11,3467.757672,2.658025301,2550.294177,Criteo
2023-11-24 00:00:00 UTC,LF캠페인,854,8511,2.472337075,3.192828881,11,745.4223396,1.792029775,12158.89574,Criteo
2024-02-22 00:00:00 UTC,LF캠페인,4477,44631,0.694434987,2.91691903,11,790.5672583,2.93874197,2350.274965,Criteo
2024-05-29 00:00:00 UTC,LF캠페인,4002,21246,4.685146994,4.831169217,11,1173.015617,1.29403087,17531.79531,Criteo
2023-04-13 00:00:00 UTC,LF캠페인,2225,17412,4.383125957,3.359121918,12,536.4369864,1.486188993,16808.37626,Criteo
2023-06-15 00:00:00 UTC,LF캠페인,2735,48301,3.299346987,0.316418443,12,2068.898967,1.735230118,10808.56531,Criteo
2023-08-13 00:00:00 UTC,LF캠페인,992,19938,2.151483972,4.845116856,12,4174.157391,1.897866147,18600.85257,Criteo
2023-10-13 00:00:00 UTC,LF캠페인,604,3768,2.655514123,3.134737378,12,3692.691019,2.171893869,3328.721372,Criteo
2023-11-16 00:00:00 UTC,LF캠페인,3339,13609,2.061347426,4.188814566,12,2630.222136,2.113760924,1645.97813,Criteo
2024-02-26 00:00:00 UTC,LF캠페인,2953,3708,1.58776086,1.026476046,12,2220.167349,2.385191969,9167.045162,Criteo
2024-03-30 00:00:00 UTC,LF캠페인,3696,15810,1.443847086,3.109255394,12,3952.932428,2.328335915,1960.365195,Criteo
2023-04-19 00:00:00 UTC,LF캠페인,4881,25520,4.19306031,2.130926741,13,3326.924677,1.928943634,5168.404413,Criteo
2023-04-20 00:00:00 UTC,LF캠페인,2041,34864,3.651897788,3.697416194,13,246.4397053,2.733235638,18986.90336,Criteo
2023-10-05 00:00:00 UTC,LF캠페인,776,45997,4.22460589,0.642010624,13,1885.140561,1.14270935,7040.116061,Criteo
